Column1;Adlar;Tarihler;Yorumlar;Satýcý;Begenme
0;ÖK;13 Ekim 2022, Perþembe;Gayet güzel bir telefon. Kameralar bataryasý iþlemcisi ekraný ben beðendim tavsiye edilir. Hemen kargoya verildi. Aldýðýmda biraz daha uygundu hemde hepsiburada indirim kampanyasý vardý.;Hepsiburada;7
1;ÝK;06 Nisan, Per;Telefonum hepsi jet ile sorunsuz þekilde geldi, Telefonu beðenmeyenleri anlamýyorum bu telefon oyun telefonu veya beklentilerin üstünde video ve fotoðraf telefonu deðil,  Günlük kullaným( Alo desin) ve sosyal medyada gezinti , normal fotoðraf ve video çekim telefonu bu, aþýrý bir beklenti içinde olanlar uzak dursun,  Þarjý kullanýma göre 1,5 gün ile 3 güne yakýn gidiyor,  ben memnunum yukarýda yazdýðým özelliklerinde bir telefon istediðim için tam bana göre;Hepsiburada;0
2;SY;19 Kasým 2022, Cumartesi;Anneme aldýk güzel bi telefon kamerasý beklediðimden daha iyi çýktý alýnýr ????;gala iletiþim;3
3;NÇ;26 Kasým 2022, Cumartesi;Telefonum bozuldu aldim çok memnun kaldým bu fotoðrafta telefondan çektiðim bir resim;ANKATEKNOB;9
4;RA;09 Mayýs 2022, Pazartesi;Ürünü babam için aldýk. Gayet kullanýþlý. Normal sesli konuþmada ses netliði gayet iyi. Görüntülü konuþmada ön kamera yeterince tatmin edici. Arka kameralar da gayet yeterli. Çok profesyonel çekimler yapmayacaksanýz gayet ideal. Malzeme kalitesi de güzel. Kargolama iyiydi, pakette herhangi bir dezenformasyon yoktu. Orijinal kutusunda geliyor. Ýçerisinde þarj kablosu ve þarj adaptörü çýkýyor. Avrupa iletiþime teþekkürler. Ürünün faturasý e-fatura olarak da gönderildi. Rahatlýkla alabilirsiniz. Emeði geçenlere teþekkürler.;Avrupa;14
5;MA;17 Temmuz 2022, Pazar;Teþekkürler Sorunsuz geldi içinden þarj kafasý ve USB sarz kablosu çýktý kulaklýk cikmiyor fatura içinde geldi;SKY GSM KOZMETÝK;10
6;HG;07 Mart, Sal;ürün bir günden daha kýsa sürede elime ulaþtý, beklediðimiz gibi bir telefon annem için aldým gayet baþarýlý ve yeterli. Teþekkürler Hepsiburada;Hepsiburada;2
7;SY;08 Mayýs 2022, Pazar;Tavsiye ederim 10 numara;Avrupa;9
8;ÖD;21 Aralýk 2022, Çarþamba;Gerçekten bu fiyata alýnabilecek en iyi telefon diyebilirim. Gerek kamerasý, gerek pil ömrü gerekse de iþlemcisi gerçekten harika. Ayrýca samsung 4 yýl güncelleme sözü verince inanýn tadýndan yenmez bir telefon oldu. Ben telefona 30-40 bin TL verenlere gerçekten anlam veremiyorum. En nihayetinde bu telefon en fazla 5 yýl sonra kullaným dýþý kalacak. Bu telefonda ihtiyaçlarý gerçekten çok güzel karþýlýyor. Tavsiye ederim;heybeden;7
9;EK;25 Ekim 2022, Salý;"Güzel ve kaliteli diyebilirim 
Paketleme harika çok beðendim almak isteyen olursa tavsiye ederim";SAMLÝNE;2
10;ÇO;21 Mart, Sal;Þimdilik sorun yok umarým da olmaz þuan memnunuz.;Hepsiburada;0
11;MA;05 Ocak, Per;A23 almýþtým 2 ay önce ve tekrar ikinciyi aldým memnunum A53 ile ayný Telefon sadece Ram farký var A23 4 A 53 8 Ram aradaki fiyat farký ise 4.000 TL bence A53 alýp bu kadar fark vermeye gerek yok görsel hersey ayný ben memnunum ve tavsiye ederim yalnýz kýlýf tercih edilirken þeffaf kýlýf kullanýn sert ve sürmeli kýlýflar kullanýrsanýz direkt telefonun arkasýný çiziyor;çagri iletiþim;3
12;UE;17 Kasým 2022, Perþembe;Teþekkürler;Avrupa;1
13;ÝK;18 Mart, Cts;Hatasýz darbesiz geldi,  iþin içinde hepsi burada ve hepsi Jet varsa hiç korkmadan telefon alabilirsiniz, ben maðaza tercihimi satýcý olarak hepsi burada olarak  tercih ediyorum, vallahi özellikleri hakkýnda fazla bir bilgim yok,Ýnternet ortamýnda bildiðimiz, ama ben rengi için aldým;Hepsiburada;0
14;SC;18 Þubat, Cts;Muntazam paketliydi??Güzel ürün 5 günde geldi teþekkürler daha uygun fiyata olursa herkes alabilir. Ýçinden kulaklýk çýkmýyor maalesef ??;MARTEKNOLOJÝ;0
15;HK;28 Eylül 2022, Çarþamba;Cihazý Biraz sýkýntý da olsa satýn aldým Samsung a modellerin hepsini kullandým Kesinlikle bu cihazi tavsiye ederim bu fiyat bandýnda sizi asla üzmez keþke Ekran amoled olsaydý ama buda kötü deðil bataryasý rahat 1.5 gün gider kamera gündüzleri Harika iþler çýkarýr ama gece için bisey diyemem 5G Desteði olsaydý iyi olurdu Genel anlamda Beðendim çok;Hepsiburada;2
16;AT;02 Nisan, Paz;hýzlý ve güvenli bir þekilde elime ulaþmasý ayrýca 5 yýldýzý hak ediyor . gayet güzel  tavsiye ediyorum .;EMTEL ÝLETÝÞÝM HÝZMETLERÝ;0
17;MK;02 Nisan, Paz;Guzel telefon, yeni aldim.uzun sure beraber olacagiz cok belli.fiyat iyi.hb tþk.;Hepsiburada;0
18;HÇ;01 Nisan, Cts;Paketleme Özenli Ve Güzeldi Hýzlý Kargo Hepsi Buradaya Teþekkürler (:;Hepsiburada;0
19;NÝ;31 Mart, Cum;Akýllý telefon çýkýnca Samsung dan baþka telefon kullanmadým. Bu telefon kalite ve fiyat performans açýsýndan çok iyi.Hepsi jetler kargo ile 24 saat olmadan güvenli þekilde teslim edildi;Hepsiburada;0
20;HÇ;01 Nisan, Cts;Paketleme Özenli Ve Güzeldi Hýzlý Kargo Hepsi Buradaya Teþekkürler (:;Hepsiburada;0
21;AL;11 Nisan, Sal;ürünü çok beðendim. Saðolsunlar bi sýkýntý yok memnunum. Güvenle alabilirsiniz.;Hepsiburada;0
22;MB;09 Nisan 2022, Cumartesi;Ürün güzel a72 nin aynýsý görsel olarak ekran güzel hýz güzel iþinizi görür daha ne olsun;BittiBitiyor;8
23;UV;20 Temmuz 2022, Çarþamba;2 adet aldýk. Anne ve baba için. Telefon orta seviye. Samsung olduðu için tercih ettik. Þimdilik iyiye benziyor. Satýcýya hýzlý bir þekilde ulaþtýrdýðý için teþekkürler.;Avrupa;3
24;ÖA;14 Þubat, Sal;Kamerasý harika zaten araþtýrarak almýþtým gayet memnun kaldým cuma günü sipariþ verdim pazartesi elindeydi.;Hepsiburada;0
25;MG;27 Ocak, Cum;Ürün gerçekten çok güzel fakat sanki paketleme biraz zayýf gibiydi. Yinede gönderici firmaya teþekkürler.;Hepsiburada;0
26;MY;06 Mart, Pts;"Ürünün performansý pili gayet güzel 
Oyun oynarsanýz 30 saat oynamaz iseniz normal kullanýmda 48 saatten fazla pil gidiyor";Hepsiburada;0
27;YC;10 Mart, Cum;Ürün güzel kullanýþlý. Çok beðendik. Teþekkür ederim. Kargo zamanýnda geldi.;Hepsiburada;0
28;FÇ;25 Mart, Cts;Eþime aldým çýk memnunum hem erkek geldi hemde sagolsunlar güzel paketleme yapýldý iyi yani;CepteTek;0
29;KE;27 Mart, Pts;Kargo paketi gayet iyiydi telefon orta seviye için gayet yeterli.;CÝNCÝN;0
30;KE;27 Mart, Pts;Kargo paketi gayet iyiydi telefon orta seviye için gayet yeterli.;CÝNCÝN;0
31;MK;04 Nisan, Sal;Alinabilir bir telefon tüm olanaklar sunulmuþ;Hepsiburada;0
32;NE;01 Nisan, Cts;ayarlarý anlamaya çalýþýyorum;Hepsiburada;0
33;AA;09 Nisan, Paz;Fiyat performans ürünü..Tavsiye edilir.;Hepsiburada;0
34;AA;10 Nisan, Pts;Babam icin aldým mükemmel bir ürün;Hepsiburada;0
35;ND;04 Kasým 2022, Cuma;"ürün cok iyi fakat hepburda piþmanlýk ürünü yarýn teslim diye burdan aldim fakat
farkli ilceye göndermiþler kendim gidip aldim 2 gun sonra";Hepsiburada;0
36;HY;26 Nisan 2022, Salý;Tereddüt etmeden gönül rahatlýðý ile alabilsin.Bir haftadýr kullanýyorum gayet memnunum;CEMRE ÝLETÝÞÝM HÝZMETLERÝ;6
37;MS;31 Aðustos 2022, Çarþamba;samsung biraz ddeðiþiklik yap artýk kamera lens yerleri ile oynayýp yeni yeni þeyler çýkartma milletin aklý ile oynama artýk deðiþiklik lütfen;Kya Teknoloji Ýletiþim;3
38;HA;16 Mayýs 2022, Pazartesi;Arkadaslar bu urunden sarj cihazida cikiyor:) bilginiz olsun ????;Avrupa;6
39;MA;08 Ekim 2022, Cumartesi;Ben memnunum inþAllah nazar deðmez ve uzun ömürlü kullanabilirim...;Avrupa;0
40;MC;29 Ekim 2022, Cumartesi;Ürün çok güzeldi memnun kaldýk kesinlikle almanýzý tavsiye ederim;CEMRE ÝLETÝÞÝM HÝZMETLERÝ;0
41;FU;12 Aralýk 2022, Pazartesi;Gayet baþarýlý ablama almýþtým tek sorun aldiktan sonraki gün 150 tl daha fiyatý düþtü;TK  MARKET;0
42;MK;22 Kasým 2022, Salý;Ben telefonu begendim orta sekment telefon arayanlar icin ideal kamerasý baya iyi;ANKATEKNOB;0
43;MK;12 Kasým 2022, Cumartesi;Ürün sorunsuz geldi.Paketleme güzel. Dünden bu yana kullanýyorum no problem;SARP TELEKOM;0
44;MS;21 Eylül 2022, Çarþamba;Kardeþime almýþtým 1 yada 1buçuk ay oldu alalý gayet iyi bir cihaz tavsiye ederim yað gibi 90 hz 15 ile 17 saat ekran süresi veriyor ve çok fazla oyun oynayan biri kardeþim yine iyi yani bu saatler + video ve dizi filim de izliyor gayet iyi gidiyor bataryasý;beyazay teknoloji;0
45;HC;24 Ocak, Sal;Sorunsuz geldi teþekkürler;Samsung Türkiye;0
46;MK;04 Þubat, Cts;Ürün  beklentileri tam olarak karþýlýyor;Teknopa Gsm;0
47;AY;11 Ocak, Çar;Daima hepsiburada;Samsung Türkiye;0
48;SÜ;01 Þubat, Çar;Sorunsuz ürün cok memnun kaldým saðlam kargo;SABEZA;0
49;MÇ;31 Ocak, Sal;Gayet güzel þýk ve kullanýþlý;Zada Technology;0
50;HC;24 Ocak, Sal;Sorunsuz geldi teþekkürler;Samsung Türkiye;0
51;MK;04 Þubat, Cts;Ürün  beklentileri tam olarak karþýlýyor;Teknopa Gsm;0
52;AY;11 Ocak, Çar;Daima hepsiburada;Samsung Türkiye;0
53;MÇ;31 Ocak, Sal;Gayet güzel þýk ve kullanýþlý;Zada Technology;0
54;SÜ;01 Þubat, Çar;Sorunsuz ürün cok memnun kaldým saðlam kargo;SABEZA;0
55;GÇ;20 Aralýk 2022, Salý;Ben kendime aldým çok memnunum özelliklerine hayran kaldým çok memnunum;CEP-CELL ÝLETÝÞÝM;0
56;FU;12 Aralýk 2022, Pazartesi;Gayet baþarýlý ablama almýþtým tek sorun aldiktan sonraki gün 150 tl daha fiyatý düþtü;TK  MARKET;0
57;EB;13 Mart, Pts;Çok hýzlý geldi sorunsuz kullanýyorum.;ALTERNATÝFGRUP;0
58;US;03 Mart, Cum;Ýyiymiþ memnun kaldýk;ALTERNATÝFGRUP;0
59;GK;06 Mart, Pts;Fiyatýna göre gayet güzel;Hepsiburada;0
60;GK;06 Mart, Pts;Fiyatýna göre gayet güzel;Hepsiburada;0
61;US;03 Mart, Cum;Ýyiymiþ memnun kaldýk;ALTERNATÝFGRUP;0
62;EB;13 Mart, Pts;Çok hýzlý geldi sorunsuz kullanýyorum.;ALTERNATÝFGRUP;0
63;HÖ;18 Mart, Cts;9 aydýr kullanýyorum  gayet   güzel   bi ürün  ..hiç bir problem  yaþamadým  ..;CEMRE ÝLETÝÞÝM HÝZMETLERÝ;0
64;BE;19 Mart, Paz;Gayet güzel telefon, hediye olarak babama aldýk f/p ürünü;alkocteknoloji;0
65;AY;20 Mart, Pts;Nerdeyse 1 senedir kullanýyorum. Çok memnunum.;HAS ÝLETÝÞÝM;0
66;ST;16 Mart, Per;Tavsiye ederim;BittiBitiyor;0
67;ST;16 Mart, Per;Hýzlý kargo beklediðim fazlasý;ANKATEKNOB;0
68;SY;04 Ekim 2022, Salý;Gayet güzel bir telefon, þimdilik sarj süresi, ekran kalitesi sahane duruyor, tavsiye ederim.;Hepsiburada;0
69;OÖ;24 Mart, Cum;Tek kelimeyle harika;Hepsiburada;0
70;CM;27 Mart, Pts;Fiyat performans ürünü kesinlikle tavsiye ediyorum;Hepsiburada;0
71;UB;20 Þubat, Pts;Güzel fiyatýna göre iyi telefon;Hepsiburada;0
72;CK;27 Mart, Pts;Süper bir ürün herkese tavsiye ediyorum;Hepsiburada;0
73;EH;28 Mart, Sal;Yeðenime aldým o kullanýyor memnun;Hepsiburada;0
74;EB;13 Mart, Pts;Çok hýzlý geldi sorunsuz kullanýyorum.;ALTERNATÝFGRUP;0
75;GK;06 Mart, Pts;Fiyatýna göre gayet güzel;Hepsiburada;0
76;AÇ;27 Þubat, Pts;Çok güzel bir telefon tavsiye ederim;ANKA MOBÝLE DAGITIM PAZARLAMA;0
77;HB;02 Mart, Per;Ürün fiyatýna göre normal. Kargo çok hýzlý geldi. Teþekkürler.;Hepsiburada;0
78;US;03 Mart, Cum;Ýyiymiþ memnun kaldýk;ALTERNATÝFGRUP;0
79;CE;24 Þubat, Cum;Fiyat/Performans ürünü , Baþarýlý .!;Hepsiburada;0
80;BU;06 Nisan, Per;Mükemmel;AYPA TEKNOLOJÝ;0
81;IT;11 Nisan, Sal;Super;Hepsiburada;0
82;MG;23 Temmuz 2022, Cumartesi;Has iletiþime sorumluluklarýndan dolayý çok teþekkür ederim. Kargolama tarihi zamanýn olmasýna raðmen, ricam üzerine bir iþ gününde telefonu kargolayýp beni bayramda telefonsuz býrakmadýlar. Güvenilir saðlam sorunsuz bir þekilde alýþveriþ yapa bilirsiniz;HAS ÝLETÝÞÝM;1
83;MU;05 Haziran 2022, Pazar;Ürünü beðendim, özellikleri belirtildiði gibi. Tavsiye ederim. Satýcý da ürünü zamanýnda gönderdi ve kablosuz kulaklýk hediyesi için de teþekkür ederim.;Fýrsat Uygun;3
84;CK;30 Aðustos 2022, Salý;Çok hýzlý kargoydu Pazartesi sabah 9 da sipariþi verdim, salý öðlen 13.30 da teslim aldým  Bunun yanýnda kutu içerisinden þarj  kablosu takýmý tam çýktý. Bu sebeple telefonu yollayan KOÇ iletiþime çok teþekkür ederim.;KOÇ ÝLETÝÞÝM;0
85;EB;24 Kasým 2022, Perþembe;Samsung A23 büyük ekran saðlam hýzlý kalitelisi ile harika tavsiye ederim;Harcabitmez;0
86;ÝG;14 Ocak, Cts;Ürün hafif çok kaliteli çok beðendim;CepteTek;0
87;ÖS;13 Haziran 2022, Pazartesi;Tam bir fiyat performans ürünü fakat bu telefona ve samsunga bu sarz cihazý hiç yakýþmamýþ özellikle þarj kablosu kalitesiz ve sert plastikten yapýlmýþ;KýrmýzýElma;3
88;OÇ;18 Haziran 2022, Cumartesi;Ürünü oðlum için aðýrlýklý oyun oynuyor. Bende kontrol ediyorum. Gayet kullanýþlý ve yeterli. Satýcýdan Gayet hýzlý ve sorunsuz geldi. Teþekkürler;KýrmýzýElma;2
89;ÝD;19 Mayýs 2022, Perþembe;Çok hýzlý geldi ve anlatýldýðý gibi çýktý. Paketleme çok çok kaliteliydi. Telefon da çok iyi görünüyor kullandýkça daha iyi cevaplar verebiliriz. Kulaklýk ta olsaydý iyi olurdu bu arada.;KýrmýzýElma;2
90;KÇ;18 Haziran 2022, Cumartesi;kýzýma diye aldým,iyi ki almýþým.remi güzel tepkime süreleri iyi.kamera ve hafýza da yeterli.sar deðerine baktým zaten samsung marka sar deðerinde gayet iyi.tavsiye ederim.;HAS ÝLETÝÞÝM;2
91;ÖG;19 Temmuz 2022, Salý;Ürün güzel hediye aldým ve çok beðenildi tam bir f/p ürünü. Tavsite ederim;MK SES TEKNOLOJÝ;1
92;ÝG;18 Haziran 2022, Cumartesi;Bugün kullanmaya baþladýk. Her yönüyle parasýný hakediyor. Bence çok iyi. Daha iyisini isteyen baþka telefon bakabilir. Ayrýca Satýcý da iyiydi.;KýrmýzýElma;2
93;KÇ;19 Mayýs 2022, Perþembe;samsung sevdogim telefon markasi ki bu urunde hic posman etmedi.gayet guzel sar degeri benim icin onemli ve samsung bunu karsiliyor.rengini cok begendik,gayet basarili urun.;HAS ÝLETÝÞÝM;0
94;OU;09 Temmuz 2022, Cumartesi;Babama aldim.. cok cok iyi.. s20 ve m52 kullaniyorum.. aratmaz diyebilirim..;ÇAKIR TEKNOLOJÝ ÜRÜNLERÝ;0
95;GB;06 Aðustos 2022, Cumartesi;Ürünümüz sorunsuz elimize ulaþtý ve kullanýyoruz satýcý ya teþekkür ederiz;Avrupa;0
96;FH;01 Aðustos 2022, Pazartesi;Tam fiyat performans telefonu babam için aldik ekran hýz batarya vs özellikleri tatmin edici kargo paketi guzeldi;ALPAY TEKNOLOJÝ;0
97;OK;24 Aðustos 2022, Çarþamba;ALMAK ÝSTEYELERE TAVSÝYE EDERÝM  EPEYDÝR KULLANIYORUM SARJI ÇOK ÝYÝ  EKRAN VE GÖRÜNTÜ KALÝTESÝ MÜKEMMEL;Avrupa;0
98;NS;20 Haziran 2022, Pazartesi;Telefonu kullanalým 1 ay oldu öyle yorum yapmak istedim. Gayet fiyat performans ürünü. Sarj kullandýðým halde 2 gunde götürüyor kasma donma þuana kadar olmadi. Ekran çözünürlük uygulamalara giriþ cok hýzlý ve güzel. Kamerasý fiyatýna göre iyi.;Avrupa;0
99;BÞ;25 Temmuz 2022, Pazartesi;Kardesime aldim gayet güzel paketlemesi de gayet güzeldi teþekkürederiz??;ALPASLAN ÝLETÝÞÝM;0
100;AA;01 Ekim 2022, Cumartesi;süpermiþ gerçekten çok kaliteli;Hepsiburada;0
101;SÖ;24 Ekim 2022, Pazartesi;Harika bir ürün . Satýcý hýzlý kargo yaptý. Paketleme ozenli;Beþken Elektronik;0
102;ÝD;08 Ekim 2022, Cumartesi;Daha önce de almýþtým aynýsýndan. Çok memnunum.;Atik Teknoloji;0
103;UÖ;10 Ekim 2022, Pazartesi;Samsung kalitesi kasma donma ýsýnma 0;Hepsiburada;0
104;IK;10 Eylül 2022, Cumartesi;Telefon beklediðimden daha iyi performanslý çýktý.  Kargo ile teslimat da zamanýnda ve hýzlýydý.;BittiBitiyor;0
105;ÝÝ;31 Ekim 2022, Pazartesi;Fiyat performans ürünü;KýrmýzýElma;0
106;AY;01 Aralýk 2022, Perþembe;Çok teþekkürler hemen elime ulaþtý memnun kaldým;Teknoden;0
107;DA;01 Aralýk 2022, Perþembe;Güzel kullanýþlý bir telefon almak isteyene tavsiye ederim;BATI ELECTRONICS;0
108;NÖ;03 Aralýk 2022, Cumartesi;Fiyat performans açýsýndan gayet güzel bir ürün;gala iletiþim;0
109;FK;30 Kasým 2022, Çarþamba;Babama aldým. Son derece memnun. F/P ürünü diyebilirim;Macrocom;0
110;CK;20 Aralýk 2022, Salý;Çok iyi fiyatýnýn hakkýný vern bir cihaz satýcýya teþekkürler;Mete Mobile;0
111;YS;16 Aralýk 2022, Cuma;Babam Ýçin aldým Günlüm kullaným için harika;aksa-telekom;0
112;MK;05 Aralýk 2022, Pazartesi;Güvenilir satýcý.;KýrmýzýElma;0
113;NÖ;03 Aralýk 2022, Cumartesi;Fiyat performans açýsýndan gayet güzel bir ürün;gala iletiþim;0
114;KT;13 Aralýk 2022, Salý;Eþim için aldýk. Fiyatýna göre gayet iyi. Alýnabilir;aksa-telekom;0
115;FD;21 Kasým 2022, Pazartesi;Urun güzel tesekkurler;gala iletiþim;0
116;NK;21 Kasým 2022, Pazartesi;Ürün gayet ideal kullanýlabilir teyzeme aldým iþini görüyor;CepteTek;0
117;MK;17 Kasým 2022, Perþembe;Ürün beklentilerimi karþýladý. Sorunsuz alýþveriþti;SARP TELEKOM;0
118;MY;17 Kasým 2022, Perþembe;Emeði geçen herkese teþekkür ederim;gala iletiþim;0
119;AA;18 Kasým 2022, Cuma;Harika bir telefon;Macrocom;0
120;KA;08 Kasým 2022, Salý;Çok güzel teþekkürler;RTA;0
121;CK;20 Aralýk 2022, Salý;Çok iyi fiyatýnýn hakkýný vern bir cihaz satýcýya teþekkürler;Mete Mobile;0
122;AA;09 Ocak, Pts;Efsane;Samsung Türkiye;0
123;HÇ;14 Ocak, Cts;Harika;SAMLÝNE;0
124;AC;12 Ocak, Per;Super;Samsung Türkiye;0
125;ZÖ;16 Mayýs 2022, Pazartesi;Fiyat ile orantýlý olarak düþünüldüðünde, ekraný büyük, pili uzun gidiyor. Oldukca zarif ve ince, mavi rengini çok beðendik. Anneme aldim, severek kullaniyor;Avrupa;0
126;DG;30 Aralýk 2022, Cuma;Ürünü bilerek aldým. Son derce memnunum;ANKATEKNOB;0
127;RG;05 Ocak, Per;Çok iyi;Hepsiburada;0
128;UG;18 Mart, Cts;Efsane...;Hepsiburada;0
129;MS;19 Mart, Paz;10 numara;ERC TEKNOLOJÝ DÜNYASI;0
130;EO;13 Mart, Pts;Kalite;gala iletiþim;0
131;VE;24 Mart, Cum;Çok iyi;Samsung Türkiye;0
132;TT;24 Mart, Cum;Harika;Hepsiburada;0
133;UG;18 Mart, Cts;Efsane...;Hepsiburada;0
134;MS;19 Mart, Paz;10 numara;ERC TEKNOLOJÝ DÜNYASI;0
135;ÞA;31 Mart, Cum;Ýyi;Hepsiburada;0
136;ZY;02 Aðustos 2022, Salý;Çokta güzel bir telefon severek kullanýyorum teslimatta vs hiç bir sorun yaþamadým tavsiye ediyorum;SEVENDEN;0
137;AE;28 Mayýs 2022, Cumartesi;Parasýna göre çok güzel. Elde tutmasý ele oturmasi çok güzel. Kýlýf ve koruyucu takýldýðý an daha oturaklý bir tlf olacak.;Azim Holding;1
138;IB;11 Mayýs 2022, Çarþamba;Cihaz çok hýzlý ekran görüntü kalitesi çok iyi özellikle kamera çok net fotoðraf çekiyor kesinlikle fiyatýný fazlasýyla hakediyor.;Hepsiburada;1
