Column1;Adlar;Tarihler;Yorumlar;Satýcý;Begenme
415;BG;26 Temmuz 2022, Salý;Gayet kullanisli orta seviye  is gorur bir telefon asiri telefonla vakit gecirmicekler icin ideal ekran boyutu iyi pil iyi;Azim Holding;1
416;AL;13 Mart, Pts;Orjinal Samsung garantili ürün saðlam bir þekilde teslim edildi, tam bir f/p telefonu teþekkürler HB;Samsung Türkiye;0
417;SY;11 Nisan, Sal;Güzeldi kardeþime aldým hediye çok beðendi tam bir fiyat performans ürünü????;Hepsiburada;0
418;SA;11 Nisan, Sal;Kargo hýzlý. Telefon güzel paketlenmiþ ve sorunsuz teslim aldým. Babam hediyesini çok beðenecek satýcýya teþekkür ediyorum, hayýrlý kazançlar diliyorum ??????;HAN MOBILE;0
419;ÞB;28 Kasým 2022, Pazartesi;Fiyat performans telefonu. Ýþ görüyor. Satýcýya gelince, ürünü siyah sipariþ etmiþtim ancak stokta olmadýðý gerekçesi ile bilgim dýþýnda mavi gönderildi. Madem stokta yok niye var denir anlamak mümkün deðil. Acil telefon ihtiyacýndan iade etmedim. Özetle telefon güzel ama daha güvenilir bir satýcýdan alýn derim.;SERKA ÝLETÝÞÝM;1
420;ED;02 Kasým 2022, Çarþamba;Bu telefondan gayet memnunuz þu ana kadar þirket kullanýmý için 6 adet aldýk. Þirket veya özel cep telefonu düþünecek olursanýz çok iyi olduðu yönünde tavsiye ederim.;Harcabitmez;0
421;GK;12 Kasým 2022, Cumartesi;Tüketiciler için ürün kalitesinden öte en önemli þey güven kazanýmýdýr. Güzel bir cepntelefonu aldýk kutusu jelatini açýlmamýþ çok teþekür Ederiz. Allah bereket versin.;gala iletiþim;0
422;ÇD;15 Kasým 2022, Salý;Tel. çok hoþ, çok güzel, kullanýþlý tavsiye ederim.kargoda zamanýndan önce sorunsuz teslim etti. teþekkürler hepsiburada;ANKATEKNOB;0
423;AU;22 Mart, Çar;Çok memnunum;Hepsiburada;0
424;YÖ;01 Nisan, Cts;Ýhtiyaçlarý karþýlar ekrana dokununca renkleri kristallesiyor keþke amoled ekran olsaydý;Zada Technology;0
425;CD;28 Mart, Sal;Günlük kullaným için gayet iyi. Yüksek donaným isteyen oyunlar için tatmin etmeyebilir.;KRAFT DTM;0
426;UK;06 Mart, Pts;Bu fiyata bu performans gayet iyi;Hepsiburada;0
427;ND;07 Nisan, Cum;Fiyatýna gore ??;KRAFT DTM;0
428;ÖH;07 Nisan, Cum;Güzel cihaz F.P;Hepsiburada;0
429;MS;05 Nisan, Çar;Telefon yollanma sürecinde satýcý çok yardýmcý oldu çok tesekkur ederim;Hepsiburada;0
430;ÞG;16 Kasým 2022, Çarþamba;Ürün gönderimi ile ilgili ambalajlama ve paketleme aþýrý özensiz geldi ve telefonun kutusunda normalde jelatin olmasý gerekirken jelatinisiz geldi. Bu Ürünü bu siteden alacaklar bir kez daha düþünsün. Telefonu anneme almýþtým ve kurmuþ bulunmuþlar kurmasaydýk kesinlikle geri iade ederdim. Böyle müþterinin içinde soru iþareti býrakan bir mecradan telefon almayý düþünmüyorum.;SERKA ÝLETÝÞÝM;1
431;UÇ;01 Nisan, Cts;Ürün 24 satte balýkesir e evime ulaþtý. Saðlam ve güzel paketlenmiþti. A23 le ilgili ilk izlenimlerimizde güzel ve kaliteli bir telefon. Ips ekran iyi. Kamerasý ve kamera yazýlýmlarý güzel.;Hepsiburada;0
432;CA;15 Temmuz 2022, Cuma;Telefonum zamanýnda teslim edildi.telefon güzelmemnun kaldým;FÝXELEKTRONÝK;0
433;HM;05 Ekim 2022, Çarþamba;Cihaz için lafa gerek yok kanýtlamýþ bir marka. Kargo ve paketleme çok özenliydi;anililetisim;0
434;BT;06 Ekim 2022, Perþembe;Koç iletiþime çok teþekkür ediyorum. Özenli paket ,açýlmamýþ güvenlik þeridli kutuda telefon.Samsung Türkiye garantili bandrollu kutuda geldi telefon.Firmaya tekrar teþekkür ediyorum;GES AKS;0
435;AY;23 Eylül 2022, Cuma;Fiyatýna göre çok güzel bir F/P ürünü Selfie kamerasý o kadar iyi deðil ama normal kamerasý cam gibi.;KOÇ ÝLETÝÞÝM;0
436;RA;06 Aralýk 2022, Salý;Kargo hýzlýydý ama kutu yýrtýktý;Avrupa;0
437;FB;15 Ocak, Paz;Harika ürün coc guzel;CepteTek;0
438;HK;11 Ocak, Çar;Hepsiburada kalitesinde hýzlý gönderim;Samsung Türkiye;0
439;UK;19 Þubat, Paz;Fiyat performans cihazý tavsiye ediyorum;Hepsiburada;0
440;TT;02 Mart, Per;Hepsiburada kalitesinde hýzlý gönderim;Hepsiburada;0
441;UK;19 Þubat, Paz;Þu ana kadar bir sýkýntý olmadý. Teþekkürler;Hepsiburada;0
442;ÝA;17 Mart, Cum;1 gün içinde elime ulaþtý. Fiyatýna göre kullanýþlý.;Hepsiburada;0
443;YA;30 Mart, Per;Kullanýþlý;Hepsiburada;0
444;AG;03 Nisan, Pts;Annem icin almistim.bir sikayeti yok.;MARTEKNOLOJÝ;0
445;KK;21 Þubat, Sal;Hýzlý teslimat ürün jiletinli kutusun da geldi satýcý firmaya çok teþekkürler;CEMRE ÝLETÝÞÝM HÝZMETLERÝ;1
446;ÝD;11 Aðustos 2022, Perþembe;Bütün ihtiyacýnýzý gideren bir telefon. Fiyati makul.Telefona yatýrým yapýp aylarca taksit ödemek bana akýllýca gelmiyor.;BTS;0
447;ÖA;21 Aðustos 2022, Pazar;Is gorur ama bozuk ciktimi firma kesinlikle kabul etmiyo..urun acildigi icinmis nekadar sacma acmadan nasl anliycz bozuk olup olmadigini;SKY GSM KOZMETÝK;0
448;MA;27 Eylül 2022, Salý;Eþime almýþtým çok memnun;Uygun Telefon;0
449;KY;27 Ekim 2022, Perþembe;Is gorur ama bozuk ciktimi firma kesinlikle kabul etmiyo..urun acildigi icinmis nekadar sacma acmadan nasl anliycz bozuk olup olmadigini;CEPGUNCEL;0
450;MA;27 Eylül 2022, Salý;Kargo hýzlý geldi. Ve telefon beklediðimiz gibi güzel ve þýk;Uygun Telefon;0
451;AÇ;19 Kasým 2022, Cumartesi;Hediye aldým kullanmaya baþladýk güzel sorun yok;Ravza iletiþim;0
452;MÇ;09 Kasým 2022, Çarþamba;Mükemmel;ÝSTANBUL GSM;0
453;LK;09 Þubat, Per;Super;ANKATEKNOB;0
454;TT;02 Mart, Per;Giriþ segmentinde iyi idare eder;Hepsiburada;0
455;ÞA;28 Ocak, Cts;Fiyat performans ürünü;Hepsiburada;0
456;SG;14 Mart, Sal;Telefon çok güzel, satýcý Taþtanlar Ýletiþim den aldým, geç kargoya veriyor, be mesajla ne de telefonla ulaþýlamýyor, tüm iletiþim kanallarý kapalý, paketlenmesi iyiydi;Hepsiburada;0
457;MG;01 Mayýs 2022, Pazar;Kutu ve paketleme gayet iyi ürün gayet kaliteli ve fiyat gayet iyi;TAÞTANLAR TÝCARET;2
458;HB;13 Nisan 2022, Çarþamba;Hýzlý kargo, düzgün ambalaj;MÝRAY ÝLETÝÞÝM;1
459;ÖD;03 Aðustos 2022, Çarþamba;"zamanýnda teslimat için teþekkürler. ayrýca satýþ temsilcisi ilgi ve alakasý için teþekkür ederim.
ürün þýk duruyor.";ALTERNATÝFGRUP;0
460;SÇ;23 Haziran 2022, Perþembe;Henüz bir sorun yasamadik;Class Ýletiþim;0
461;SK;13 Eylül 2022, Salý;Henüz yeni aldým. Ama bu fiyata mükemmel ürün;GES AKS;0
462;AÇ;24 Eylül 2022, Cumartesi;10 numara;Hepsiburada;0
463;SÝ;01 Aralýk 2022, Perþembe;Güzel;TAÞTANLAR TÝCARET;0
464;AD;16 Kasým 2022, Çarþamba;Güvenilir.;erdemiletiþim;0
465;AT;02 Aralýk 2022, Cuma;Kamera özellikleri tatmin etmedi. Fotoðrafý çektiðimde 1 saniye kadar beklemem gerekiyor. Bu durum hoþuma gitmiyor. Ekran olarak ekrana bazen bi kac defa týklayýnca yapacagim iþlem gerçekleþiyor.Görüntü kalitesi bence düþük.Þarjý uzun süre dayanýyor. Öncesinde note5 kullanýyordum bu telefon ile kiyaslayinca note5i gözlerim arýyor.;ANKATEKNOB;0
466;BD;28 Aðustos 2022, Pazar;Msj yazamýyorum bastýðým harfler deðilde hep baþka harfler çýkýyordu iade ettim busefer satýcý hepsiburadadan aldým ama gene ayný sorunsuz iade ettim;HAS ÝLETÝÞÝM;4
467;HA;15 Mart, Çar;Telefonda ses sorunu var karþý tarafýn sesi kendisine geri geliyor onun için iade ettim;Hepsiburada;1
468;ZG;06 Nisan, Per;Orjinal ürün, satýcý ilgili, kargo çok iyi.;Hepsiburada;0
469;ÜB;14 Mayýs 2022, Cumartesi;Sorunsuz elime ulaþtý ,hediye içinde çok teþekkür ederim ??;Azim Holding;0
470;YM;30 Mayýs 2022, Pazartesi;"Ürünü herkes bilir, yada araþtýrýr.
Ben satýcýyý öneririm";CEP BORSA 02;0
471;ÇB;10 Haziran 2022, Cuma;Güzel ürün. Kulaklýk artýk çýkmýyor telefonlarda, bu kötü bir þey.;KýrmýzýElma;0
472;MB;17 Haziran 2022, Cuma;Beklentimizin üzerinde bir alýþveriþ idi. Gayet memnun kaldým;KýrmýzýElma;0
473;BD;18 Haziran 2022, Cumartesi;beðendim;KýrmýzýElma;0
474;MT;19 Temmuz 2022, Salý;Teþekkürler;Kya Teknoloji Ýletiþim;0
475;CE;03 Aðustos 2022, Çarþamba;Guzel;New-Time;0
476;MK;25 Eylül 2022, Pazar;5gsi yok;TEKNOSELL;0
477;MU;13 Aralýk 2022, Salý;Ederi 4 bin max;Hepsiburada;0
478;EK;16 Ocak, Pts;"Beyaz istedik Siyah istemedik. Niþanlým uðraþmak istemediði için kullanýyor. Ben kullanacak olsaydým direk iade ederdim.
Bile bile siyah gönderdiðiniz için 1 puan kargo hýzlýydý baþka bir artýsý yok.";MaviGSM;1
479;EA;20 Aðustos 2022, Cumartesi;Telefon iki günde ikiye ayrýldý ve kullanýcý hatasý diyorlar. Bir daha asla Samsungtan biþi almam herkese de anlatýyorum.;anililetisim;3
480;TK;20 Ocak, Cum;Kamera berbat kasýyor,ekran teknolojisi zaten eksi ama fp olarak baktýðýmdan aldým , keþke bi týk daha param olsaydý bunun yüzüne bakmazdým;BittiBitiyor;1
481;IA;04 Eylül 2022, Pazar;hasarlý ürün gönderilmiþ bataryasý þiþ ,çizik  ve jelatinsiz;BittiBitiyor;3
482;OÖ;12 Ocak, Per;Begenmedim;Samsung Türkiye;0
483;MÞ;04 Nisan, Sal;Berbat satýcý;gala iletiþim;0
484;OB;10 Nisan, Pts;Cok iyi;KRAFT DTM;0
485;AK;18 Mayýs 2022, Çarþamba;Gayet güzel;KýrmýzýElma;0
486;ÝA;18 Mayýs 2022, Çarþamba;Güzel.;TEKNOLOJÝ DÜNYASI 01;0
487;AT;26 Mayýs 2022, Perþembe;Fiyat performans açýsýndan gayet ideal bir telefon.;DÜNYA BÝLÝÞÝM;0
488;ED;13 Haziran 2022, Pazartesi;Telefon da þebeke hatasý var konuþurken sürekli kesinti yaþýyorsun diðer özellikleri yeterli;BittiBitiyor;0
489;NK;11 Temmuz 2022, Pazartesi;Ýyi baþarýlý;ÝSTANBUL GSM;1
490;GG;25 Haziran 2022, Cumartesi;Vasat bi telefon beklentilerimi karþýlamadý tavsiye etmem;KýrmýzýElma;0
491;AG;21 Þubat, Sal;Þarjý 1 gün gidiyor kamerasý parasýna göre iþte;EGECEP;0
492;EM;08 Mart, Çar;Ürün kesinlikle fiyatýný hakketmiyo 3000 lira cývarýnda olmalý bu telefonlar;Hepsiburada;0
493;EY;25 Ekim 2022, Salý;Fiyat performans ürünü.;Hepsiburada;2
494;MÇ;31 Ekim 2022, Pazartesi;baþarýlý;Hepsiburada;0
495;FÖ;24 Mart, Cum;Hepsiburada ile ilgili sorun yok. Telefon çok kalitesiz bu paraya deðmezmiþ.;Azim Holding;0
496;MD;20 Ekim 2022, Perþembe;Sadece satýcýnýn ürün paketleme ve kargolama süreci çok hýzlýydý fakat telefon vasatýn vasatýn j5 telefonumun kamerasý bile bundan güzel ve aþýrý ýsýnýyor telefonda vakit gecirmedigim halde þarjý çok çabuk bitiyor.. maalesef hayal kýrýklýðý.;Hepsiburada;1
497;SC;06 Haziran 2022, Pazartesi;Ýlk kullanýmda þarjý hemen bitti þarjdayken de ýsýnýyor;Azim Holding;2
498;FO;02 Aralýk 2022, Cuma;Tel kutusundan kulak ekran koruyucu kýlýf hiçbir þey yok hiç memnun deðilim;ANKATEKNOB;0
499;EA;08 Temmuz 2022, Cuma;Dokunmayýn arýzalý;HAS ÝLETÝÞÝM;0
500;SG;07 Ekim 2022, Cuma;Kamera, fotoðraf kalitesi çok düþük;ANKATEKNOB;1
501;ST;05 Kasým 2022, Cumartesi;Çok çabuk ýsýnýyor çok sýkýntý çektim;MOBILGEN;0
502;BE;04 Aralýk 2022, Pazar;Kesinlikle amoled ekran tercih etmelisiniz lcd ekran güzel deðil;Hepsiburada;0
503;HG;08 Þubat, Çar;Kamerasý çok da iyi deðil;KOÇ ÝLETÝÞÝM;0
504;AH;20 Haziran 2022, Pazartesi;Telefonu alalý 15 gün oldu beklentiniz yüksek olmasýn baþka cihazlara bakýn derim...;Azim Holding;4
505;AD;04 Aðustos 2022, Perþembe;Telefon çok yavaþ ve Android kararsýz çalisiyor amatör kalýyor;BittiBitiyor;2
506;KA;10 Haziran 2022, Cuma;Güzel fena deðil piyasaya göre;Azim Holding;3
507;CD;06 Haziran 2022, Pazartesi;Ürün bu þekilde geldi;Avrupa;3
508;OB;31 Mayýs 2022, Salý;;TAÞTANLAR TÝCARET;0
509;BF;20 Haziran 2022, Pazartesi;;Hepsiburada;0
510;YB;01 Nisan, Cts;;Hepsiburada;0
511;GÝ;01 Nisan, Cts;;Hepsiburada;0
512;ÞA;02 Nisan, Paz;;Hepsiburada;0
513;SG;02 Nisan, Paz;;Hepsiburada;0
514;FA;03 Nisan, Pts;;Hepsiburada;0
515;AA;04 Nisan, Sal;;Hepsiburada;0
516;MT;01 Nisan, Cts;;KýrmýzýElma;0
517;TC;07 Nisan, Cum;;KRAFT DTM;0
518;MÖ;05 Nisan, Çar;;Hepsiburada;0
519;HK;05 Nisan, Çar;;Hepsiburada;0
520;GÝ;01 Nisan, Cts;;Hepsiburada;0
521;YB;01 Nisan, Cts;;Hepsiburada;0
522;MT;01 Nisan, Cts;;Hepsiburada;0
523;AA;04 Nisan, Sal;;Hepsiburada;0
524;SG;02 Nisan, Paz;;Hepsiburada;0
525;FA;03 Nisan, Pts;;Hepsiburada;0
526;HK;05 Nisan, Çar;;KRAFT DTM;0
527;MÖ;05 Nisan, Çar;;Hepsiburada;0
528;ÞA;02 Nisan, Paz;;Hepsiburada;0
529;DD;12 Nisan, Çar;;Hepsiburada;0
530;MA;12 Nisan, Çar;;DoðanekspreSS;0
531;YI;12 Nisan, Çar;;Hepsiburada;0
532;VÖ;13 Nisan, Per;;Samsung Türkiye;0
533;HD;13 Ocak, Cum;;Samsung Türkiye;0
534;GA;11 Ocak, Çar;;durmazteknoloji;0
535;SK;11 Ocak, Çar;;Samsung Türkiye;0
536;AP;12 Ocak, Per;;Samsung Türkiye;0
537;MÖ;12 Ocak, Per;;Avrupa;0
538;FK;10 Ocak, Sal;;SABEZA;0
539;EC;21 Ocak, Cts;;Samsung Türkiye;0
540;OT;11 Þubat, Cts;;Hepsiburada;0
541;TÖ;14 Þubat, Sal;;Samsung Türkiye;0
542;AS;04 Þubat, Cts;;Samsung Türkiye;0
543;HB;18 Ocak, Çar;;Samsung Türkiye;0
544;CS;20 Ocak, Cum;;SABEZA;0
545;EC;21 Ocak, Cts;;Samsung Türkiye;0
546;MÖ;12 Ocak, Per;;durmazteknoloji;0
547;SK;11 Ocak, Çar;;Samsung Türkiye;0
548;AP;12 Ocak, Per;;Avrupa;0
549;FK;10 Ocak, Sal;;Hepsiburada;0
550;IG;26 Þubat, Paz;;Samsung Türkiye;0
551;ÖY;26 Þubat, Paz;;Hepsiburada;0
552;UG;22 Þubat, Çar;;Samsung Türkiye;0
553;EK;06 Ocak, Cum;;Samsung Türkiye;0
554;MÖ;12 Ocak, Per;;Samsung Türkiye;0
555;HB;18 Ocak, Çar;;Samsung Türkiye;0
556;AP;12 Ocak, Per;;Samsung Türkiye;0
557;HD;13 Ocak, Cum;;Samsung Türkiye;0
558;GA;11 Ocak, Çar;;Hepsiburada;0
559;EE;13 Þubat, Pts;;EGECEP;0
560;RK;22 Þubat, Çar;;Hepsiburada;0
561;UG;22 Þubat, Çar;;Hepsiburada;0
562;GÞ;22 Þubat, Çar;;Hepsiburada;0
563;SY;24 Þubat, Cum;;Hepsiburada;0
564;BS;22 Þubat, Çar;;Hepsiburada;0
565;HÝ;23 Þubat, Per;;gala iletiþim;0
566;SD;25 Þubat, Cts;;Hepsiburada;0
567;IG;26 Þubat, Paz;;Samsung Türkiye;0
568;ÖY;26 Þubat, Paz;;MALIBU;0
569;DK;27 Þubat, Pts;;Hepsiburada;0
570;UG;22 Þubat, Çar;;Samsung Türkiye;0
571;EK;06 Ocak, Cum;;Hepsiburada;0
572;NY;03 Mart, Cum;;CepteTek;0
573;IK;04 Mart, Cts;;gala iletiþim;0
574;HG;04 Mart, Cts;;Hepsiburada;0
575;SU;04 Mart, Cts;;CepteTek;0
576;KK;05 Mart, Paz;;Hepsiburada;0
577;HP;06 Mart, Pts;;Hepsiburada;0
578;MB;05 Mart, Paz;;CepteTek;0
579;ÝÖ;05 Mart, Paz;;mehmetlergsm;0
580;ÖT;07 Mart, Sal;;MARTEKNOLOJÝ;0
581;ET;08 Mart, Çar;;Hepsiburada;0
582;AÜ;07 Mart, Sal;;Hepsiburada;0
583;MB;05 Mart, Paz;;Hepsiburada;0
584;HP;06 Mart, Pts;;Hepsiburada;0
585;YÖ;10 Mart, Cum;;Hepsiburada;0
586;ÝD;08 Mart, Çar;;Hepsiburada;0
587;GÞ;12 Mart, Paz;;Samsung Türkiye;0
588;TG;12 Mart, Paz;;Beþken Elektronik;0
589;ÝA;12 Mart, Paz;;Hepsiburada;0
590;FK;24 Mart, Cum;;Hepsiburada;0
591;UK;25 Mart, Cts;;Hepsiburada;0
592;FT;31 Mart, Cum;;Hepsiburada;0
593;SÝ;31 Mart, Cum;;ANKATEKNOB;0
594;MD;28 Mart, Sal;;Hepsiburada;0
595;IA;29 Mart, Çar;;Hepsiburada;0
596;MÖ;28 Mart, Sal;;KRAFT DTM;0
597;AA;30 Mart, Per;;Hepsiburada;0
598;MA;30 Mart, Per;;Hepsiburada;0
599;MK;31 Mart, Cum;;Hepsiburada;0
600;GÝ;23 Mart, Per;;Macrocom;0
601;EB;22 Mart, Çar;;Hepsiburada;0
602;MV;18 Mart, Cts;;Hepsiburada;0
603;AE;16 Mart, Per;;Hepsiburada;0
604;ÝE;15 Mart, Çar;;Hepsiburada;0
605;NÖ;19 Mart, Paz;;BEYAZ TEKNO MARKET;0
606;ÝB;19 Mart, Paz;;Hepsiburada;0
607;DK;19 Mart, Paz;;Hepsiburada;0
608;HK;14 Mart, Sal;;Hepsiburada;0
609;ED;19 Mart, Paz;;Hepsiburada;0
610;SU;19 Mart, Paz;;Hepsiburada;0
611;EA;28 Mart, Sal;;ANKATEKNOB;0
612;MD;28 Mart, Sal;;Hepsiburada;0
613;MÖ;28 Mart, Sal;;Hepsiburada;0
614;IA;29 Mart, Çar;;Hepsiburada;0
615;ZÖ;30 Mart, Per;;Hepsiburada;0
616;MA;30 Mart, Per;;KRAFT DTM;0
617;AA;30 Mart, Per;;Hepsiburada;0
618;TK;27 Mart, Pts;;Hepsiburada;0
619;SÝ;31 Mart, Cum;;Hepsiburada;0
620;FT;31 Mart, Cum;;Hepsiburada;0
621;UK;25 Mart, Cts;;Hepsiburada;0
622;SÝ;31 Mart, Cum;;ALTERNATÝFGRUP;0
623;AT;03 Ekim 2022, Pazartesi;;KOÇ ÝLETÝÞÝM;0
624;CK;07 Ekim 2022, Cuma;;cakkardesler;0
625;DZ;10 Ekim 2022, Pazartesi;;Hepsiburada;0
626;YH;09 Ekim 2022, Pazar;;SERKA ÝLETÝÞÝM;0
627;AS;07 Ekim 2022, Cuma;;MK SES TEKNOLOJÝ;0
628;SK;05 Ekim 2022, Çarþamba;;Hepsiburada;0
629;TU;05 Ekim 2022, Çarþamba;;Hepsiburada;0
630;FK;12 Ekim 2022, Çarþamba;;MK SES TEKNOLOJÝ;0
631;AY;12 Ekim 2022, Çarþamba;;ANKATEKNOB;0
632;TA;11 Ekim 2022, Salý;;Avrupa;0
633;NB;11 Ekim 2022, Salý;;SERKA ÝLETÝÞÝM;0
634;RT;27 Ekim 2022, Perþembe;;TEKNOVARÝ;0
635;MD;25 Ekim 2022, Salý;;EGECEP;0
636;KY;24 Ekim 2022, Pazartesi;;CEMRE ÝLETÝÞÝM HÝZMETLERÝ;0
637;YK;28 Ekim 2022, Cuma;;Avrupa;0
638;YY;28 Ekim 2022, Cuma;;AKSOY TEKNOLOJÝ MARKET;0
639;AK;29 Ekim 2022, Cumartesi;;ALTERNATÝFGRUP;0
640;SM;29 Ekim 2022, Cumartesi;;Avrupa;0
641;ÖK;30 Ekim 2022, Pazar;;Hepsiburada;0
642;GA;16 Ekim 2022, Pazar;;Hepsiburada;0
643;MÇ;14 Ekim 2022, Cuma;;ANKATEKNOB;0
644;ÖE;21 Ekim 2022, Cuma;;aksa-telekom;0
645;AS;05 Kasým 2022, Cumartesi;;KýrmýzýElma;0
646;NB;06 Kasým 2022, Pazar;;Mobil Market;0
647;MA;06 Kasým 2022, Pazar;;VAROLÝLETÝÞÝM;0
648;SY;01 Kasým 2022, Salý;;TEKNOSELL;0
649;SK;01 Kasým 2022, Salý;;HAS ÝLETÝÞÝM;0
650;SÖ;30 Kasým 2022, Çarþamba;;ALMÝRA GROUP;0
651;MA;01 Aralýk 2022, Perþembe;;Hepsiburada;0
652;RG;01 Aralýk 2022, Perþembe;;ANKATEKNOB;0
653;AÖ;03 Aralýk 2022, Cumartesi;;SERKA ÝLETÝÞÝM;0
654;MU;03 Aralýk 2022, Cumartesi;;GÝ-STORE;0
655;TD;05 Aralýk 2022, Pazartesi;;TK  MARKET;0
656;CE;08 Aralýk 2022, Perþembe;;ALTERNATÝFGRUP;0
657;MA;09 Aralýk 2022, Cuma;;gala iletiþim;0
658;RE;15 Kasým 2022, Salý;;Hepsiburada;0
659;PH;18 Kasým 2022, Cuma;;SERKA ÝLETÝÞÝM;0
660;MU;03 Aralýk 2022, Cumartesi;;Hepsiburada;0
661;RG;01 Aralýk 2022, Perþembe;;ALMÝRA GROUP;0
662;MA;01 Aralýk 2022, Perþembe;;MARTEKNOLOJÝ;0
663;AK;17 Kasým 2022, Perþembe;;muratgsm;0
664;OÇ;22 Kasým 2022, Salý;;Hepsiburada;0
665;BY;23 Kasým 2022, Çarþamba;;anadolutelekom;0
666;NS;07 Kasým 2022, Pazartesi;;FÝXELEKTRONÝK;0
667;HP;07 Kasým 2022, Pazartesi;;Birtane Telekom;0
668;ED;09 Kasým 2022, Çarþamba;;metagrupbilisim;0
669;ÖG;11 Kasým 2022, Cuma;;Kuzeyden;0
670;MT;12 Kasým 2022, Cumartesi;;VAROLÝLETÝÞÝM;0
671;NT;14 Kasým 2022, Pazartesi;;Hepsiburada;0
672;MB;13 Kasým 2022, Pazar;;ANKATEKNOB;0
673;EÇ;12 Kasým 2022, Cumartesi;;aksa-telekom;0
674;AS;05 Kasým 2022, Cumartesi;;Hepsiburada;0
675;HC;05 Kasým 2022, Cumartesi;;KýrmýzýElma;0
676;NB;06 Kasým 2022, Pazar;;Mobil Market;0
677;MA;06 Kasým 2022, Pazar;;gala iletiþim;0
678;ES;10 Kasým 2022, Perþembe;;Birtane Telekom;0
679;ED;09 Kasým 2022, Çarþamba;;;0
